group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Static Size,Call by Reference,,,,995817.0,ns,4656
Static Size,Call by Reference,,,,2106899.0,ns,9312
Static Size,Call by Reference,,,,3132069.0,ns,13968
Static Size,Call by Reference,,,,3846830.0,ns,18624
Static Size,Call by Reference,,,,4796991.0,ns,23280
Static Size,Call by Reference,,,,5734057.0,ns,27936
Static Size,Call by Reference,,,,6705250.0,ns,32592
Static Size,Call by Reference,,,,7688644.0,ns,37248
Static Size,Call by Reference,,,,8648242.0,ns,41904
Static Size,Call by Reference,,,,9590922.0,ns,46560
Static Size,Call by Reference,,,,10530548.0,ns,51216
Static Size,Call by Reference,,,,11455806.0,ns,55872
Static Size,Call by Reference,,,,12464050.0,ns,60528
Static Size,Call by Reference,,,,13290059.0,ns,65184
Static Size,Call by Reference,,,,14012829.0,ns,69840
Static Size,Call by Reference,,,,14980616.0,ns,74496
Static Size,Call by Reference,,,,15839308.0,ns,79152
Static Size,Call by Reference,,,,16948562.0,ns,83808
Static Size,Call by Reference,,,,18134021.0,ns,88464
Static Size,Call by Reference,,,,19176445.0,ns,93120
Static Size,Call by Reference,,,,20098639.0,ns,97776
Static Size,Call by Reference,,,,20518943.0,ns,102432
Static Size,Call by Reference,,,,21407791.0,ns,107088
Static Size,Call by Reference,,,,22529399.0,ns,111744
Static Size,Call by Reference,,,,23862074.0,ns,116400
Static Size,Call by Reference,,,,24652361.0,ns,121056
Static Size,Call by Reference,,,,25173235.0,ns,125712
Static Size,Call by Reference,,,,26388984.0,ns,130368
Static Size,Call by Reference,,,,27749197.0,ns,135024
Static Size,Call by Reference,,,,28661002.0,ns,139680
Static Size,Call by Reference,,,,29056542.0,ns,144336
Static Size,Call by Reference,,,,29878354.0,ns,148992
Static Size,Call by Reference,,,,31533312.0,ns,153648
Static Size,Call by Reference,,,,32247207.0,ns,158304
Static Size,Call by Reference,,,,32651762.0,ns,162960
Static Size,Call by Reference,,,,34151180.0,ns,167616
Static Size,Call by Reference,,,,35169816.0,ns,172272
Static Size,Call by Reference,,,,35493917.0,ns,176928
Static Size,Call by Reference,,,,37720381.0,ns,181584
Static Size,Call by Reference,,,,39078934.0,ns,186240
Static Size,Call by Reference,,,,40180114.0,ns,190896
Static Size,Call by Reference,,,,40287329.0,ns,195552
Static Size,Call by Reference,,,,41057772.0,ns,200208
Static Size,Call by Reference,,,,42143333.0,ns,204864
Static Size,Call by Reference,,,,43160892.0,ns,209520
Static Size,Call by Reference,,,,43664522.0,ns,214176
Static Size,Call by Reference,,,,43895511.0,ns,218832
Static Size,Call by Reference,,,,45832503.0,ns,223488
Static Size,Call by Reference,,,,46815452.0,ns,228144
Static Size,Call by Reference,,,,47939476.0,ns,232800
Static Size,Call by Reference,,,,48825183.0,ns,237456
Static Size,Call by Reference,,,,49176106.0,ns,242112
Static Size,Call by Reference,,,,49846892.0,ns,246768
Static Size,Call by Reference,,,,51037892.0,ns,251424
Static Size,Call by Reference,,,,51830949.0,ns,256080
Static Size,Call by Reference,,,,53048311.0,ns,260736
Static Size,Call by Reference,,,,53474634.0,ns,265392
Static Size,Call by Reference,,,,54888356.0,ns,270048
Static Size,Call by Reference,,,,55558686.0,ns,274704
Static Size,Call by Reference,,,,57480683.0,ns,279360
Static Size,Call by Reference,,,,61943758.0,ns,284016
Static Size,Call by Reference,,,,59487303.0,ns,288672
Static Size,Call by Reference,,,,60192367.0,ns,293328
Static Size,Call by Reference,,,,61362372.0,ns,297984
Static Size,Call by Reference,,,,60991420.0,ns,302640
Static Size,Call by Reference,,,,62869884.0,ns,307296
Static Size,Call by Reference,,,,63241123.0,ns,311952
Static Size,Call by Reference,,,,64852214.0,ns,316608
Static Size,Call by Reference,,,,64997829.0,ns,321264
Static Size,Call by Reference,,,,66999836.0,ns,325920
Static Size,Call by Reference,,,,66498524.0,ns,330576
Static Size,Call by Reference,,,,68289491.0,ns,335232
Static Size,Call by Reference,,,,68927128.0,ns,339888
Static Size,Call by Reference,,,,69738952.0,ns,344544
Static Size,Call by Reference,,,,73823984.0,ns,349200
Static Size,Call by Reference,,,,76738697.0,ns,353856
Static Size,Call by Reference,,,,80476925.0,ns,358512
Static Size,Call by Reference,,,,79411846.0,ns,363168
Static Size,Call by Reference,,,,78520252.0,ns,367824
Static Size,Call by Reference,,,,78585813.0,ns,372480
Static Size,Call by Reference,,,,78375307.0,ns,377136
Static Size,Call by Reference,,,,78645723.0,ns,381792
Static Size,Call by Reference,,,,78917838.0,ns,386448
Static Size,Call by Reference,,,,79430062.0,ns,391104
Static Size,Call by Reference,,,,79768164.0,ns,395760
Static Size,Call by Reference,,,,81267236.0,ns,400416
Static Size,Call by Reference,,,,81920911.0,ns,405072
Static Size,Call by Reference,,,,83566272.0,ns,409728
Static Size,Call by Reference,,,,86624612.0,ns,414384
Static Size,Call by Reference,,,,86236135.0,ns,419040
Static Size,Call by Reference,,,,90333022.0,ns,423696
Static Size,Call by Reference,,,,86997936.0,ns,428352
Static Size,Call by Reference,,,,88247963.0,ns,433008
Static Size,Call by Reference,,,,90232194.0,ns,437664
Static Size,Call by Reference,,,,91148326.0,ns,442320
Static Size,Call by Reference,,,,90753298.0,ns,446976
Static Size,Call by Reference,,,,91285728.0,ns,451632
Static Size,Call by Reference,,,,92274202.0,ns,456288
Static Size,Call by Reference,,,,93575800.0,ns,460944
Static Size,Call by Reference,,,,98218698.0,ns,465600
