group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Static Size,Call by Value,,,,993889.0,ns,3237
Static Size,Call by Value,,,,2104124.0,ns,6474
Static Size,Call by Value,,,,2974050.0,ns,9711
Static Size,Call by Value,,,,4001663.0,ns,12948
Static Size,Call by Value,,,,4973059.0,ns,16185
Static Size,Call by Value,,,,5854175.0,ns,19422
Static Size,Call by Value,,,,6954197.0,ns,22659
Static Size,Call by Value,,,,7818523.0,ns,25896
Static Size,Call by Value,,,,8836074.0,ns,29133
Static Size,Call by Value,,,,9766576.0,ns,32370
Static Size,Call by Value,,,,10763302.0,ns,35607
Static Size,Call by Value,,,,11766956.0,ns,38844
Static Size,Call by Value,,,,12769983.0,ns,42081
Static Size,Call by Value,,,,13665712.0,ns,45318
Static Size,Call by Value,,,,14642286.0,ns,48555
Static Size,Call by Value,,,,15678057.0,ns,51792
Static Size,Call by Value,,,,16634472.0,ns,55029
Static Size,Call by Value,,,,17653084.0,ns,58266
Static Size,Call by Value,,,,18732004.0,ns,61503
Static Size,Call by Value,,,,20105753.0,ns,64740
Static Size,Call by Value,,,,20766391.0,ns,67977
Static Size,Call by Value,,,,21789109.0,ns,71214
Static Size,Call by Value,,,,22881647.0,ns,74451
Static Size,Call by Value,,,,23837716.0,ns,77688
Static Size,Call by Value,,,,24614540.0,ns,80925
Static Size,Call by Value,,,,25715828.0,ns,84162
Static Size,Call by Value,,,,26625967.0,ns,87399
Static Size,Call by Value,,,,27657024.0,ns,90636
Static Size,Call by Value,,,,28529254.0,ns,93873
Static Size,Call by Value,,,,29745793.0,ns,97110
Static Size,Call by Value,,,,30843388.0,ns,100347
Static Size,Call by Value,,,,31791401.0,ns,103584
Static Size,Call by Value,,,,32514624.0,ns,106821
Static Size,Call by Value,,,,33607045.0,ns,110058
Static Size,Call by Value,,,,34548156.0,ns,113295
Static Size,Call by Value,,,,35328644.0,ns,116532
Static Size,Call by Value,,,,36564948.0,ns,119769
Static Size,Call by Value,,,,37495943.0,ns,123006
Static Size,Call by Value,,,,38493320.0,ns,126243
Static Size,Call by Value,,,,39411860.0,ns,129480
Static Size,Call by Value,,,,40392756.0,ns,132717
Static Size,Call by Value,,,,43077874.0,ns,135954
Static Size,Call by Value,,,,42975514.0,ns,139191
Static Size,Call by Value,,,,43584424.0,ns,142428
Static Size,Call by Value,,,,44416151.0,ns,145665
Static Size,Call by Value,,,,45577562.0,ns,148902
Static Size,Call by Value,,,,46308228.0,ns,152139
Static Size,Call by Value,,,,47405054.0,ns,155376
Static Size,Call by Value,,,,48312108.0,ns,158613
Static Size,Call by Value,,,,49430755.0,ns,161850
Static Size,Call by Value,,,,50052054.0,ns,165087
Static Size,Call by Value,,,,51450082.0,ns,168324
Static Size,Call by Value,,,,52543474.0,ns,171561
Static Size,Call by Value,,,,53183482.0,ns,174798
Static Size,Call by Value,,,,54431214.0,ns,178035
Static Size,Call by Value,,,,55018955.0,ns,181272
Static Size,Call by Value,,,,56297125.0,ns,184509
Static Size,Call by Value,,,,57251731.0,ns,187746
Static Size,Call by Value,,,,58119720.0,ns,190983
Static Size,Call by Value,,,,59325899.0,ns,194220
Static Size,Call by Value,,,,60432644.0,ns,197457
Static Size,Call by Value,,,,63681771.0,ns,200694
Static Size,Call by Value,,,,61802552.0,ns,203931
Static Size,Call by Value,,,,63062008.0,ns,207168
Static Size,Call by Value,,,,64057429.0,ns,210405
Static Size,Call by Value,,,,64945523.0,ns,213642
Static Size,Call by Value,,,,65781562.0,ns,216879
Static Size,Call by Value,,,,66791213.0,ns,220116
Static Size,Call by Value,,,,67584491.0,ns,223353
Static Size,Call by Value,,,,68867729.0,ns,226590
Static Size,Call by Value,,,,69460058.0,ns,229827
Static Size,Call by Value,,,,70349561.0,ns,233064
Static Size,Call by Value,,,,71513072.0,ns,236301
Static Size,Call by Value,,,,72474291.0,ns,239538
Static Size,Call by Value,,,,73164925.0,ns,242775
Static Size,Call by Value,,,,75461819.0,ns,246012
Static Size,Call by Value,,,,77030874.0,ns,249249
Static Size,Call by Value,,,,76601206.0,ns,252486
Static Size,Call by Value,,,,77933402.0,ns,255723
Static Size,Call by Value,,,,78935881.0,ns,258960
Static Size,Call by Value,,,,79919263.0,ns,262197
Static Size,Call by Value,,,,80718408.0,ns,265434
Static Size,Call by Value,,,,81764823.0,ns,268671
Static Size,Call by Value,,,,82652803.0,ns,271908
Static Size,Call by Value,,,,83216154.0,ns,275145
Static Size,Call by Value,,,,84548692.0,ns,278382
Static Size,Call by Value,,,,85764965.0,ns,281619
Static Size,Call by Value,,,,86511186.0,ns,284856
Static Size,Call by Value,,,,89923333.0,ns,288093
Static Size,Call by Value,,,,88877714.0,ns,291330
Static Size,Call by Value,,,,89601539.0,ns,294567
Static Size,Call by Value,,,,90391412.0,ns,297804
Static Size,Call by Value,,,,91384702.0,ns,301041
Static Size,Call by Value,,,,92820355.0,ns,304278
Static Size,Call by Value,,,,93188568.0,ns,307515
Static Size,Call by Value,,,,94336785.0,ns,310752
Static Size,Call by Value,,,,95701026.0,ns,313989
Static Size,Call by Value,,,,96189468.0,ns,317226
Static Size,Call by Value,,,,98045386.0,ns,320463
Static Size,Call by Value,,,,99748821.0,ns,323700
