group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Static Size,DimReduction,,,,1165416.0,ns,115913
Static Size,DimReduction,,,,2372036.0,ns,231826
Static Size,DimReduction,,,,3533317.0,ns,347739
Static Size,DimReduction,,,,4814976.0,ns,463652
Static Size,DimReduction,,,,5904347.0,ns,579565
Static Size,DimReduction,,,,7089063.0,ns,695478
Static Size,DimReduction,,,,8290372.0,ns,811391
Static Size,DimReduction,,,,9453725.0,ns,927304
Static Size,DimReduction,,,,10371371.0,ns,1043217
Static Size,DimReduction,,,,11526184.0,ns,1159130
Static Size,DimReduction,,,,12678730.0,ns,1275043
Static Size,DimReduction,,,,13827816.0,ns,1390956
Static Size,DimReduction,,,,14981721.0,ns,1506869
Static Size,DimReduction,,,,16210783.0,ns,1622782
Static Size,DimReduction,,,,17292593.0,ns,1738695
Static Size,DimReduction,,,,18458333.0,ns,1854608
Static Size,DimReduction,,,,19614681.0,ns,1970521
Static Size,DimReduction,,,,21913310.0,ns,2086434
Static Size,DimReduction,,,,22925501.0,ns,2202347
Static Size,DimReduction,,,,23755058.0,ns,2318260
Static Size,DimReduction,,,,24762643.0,ns,2434173
Static Size,DimReduction,,,,25393106.0,ns,2550086
Static Size,DimReduction,,,,26593353.0,ns,2665999
Static Size,DimReduction,,,,27663268.0,ns,2781912
Static Size,DimReduction,,,,28779016.0,ns,2897825
Static Size,DimReduction,,,,29954802.0,ns,3013738
Static Size,DimReduction,,,,31107802.0,ns,3129651
Static Size,DimReduction,,,,32314694.0,ns,3245564
Static Size,DimReduction,,,,33442257.0,ns,3361477
Static Size,DimReduction,,,,34640734.0,ns,3477390
Static Size,DimReduction,,,,35672164.0,ns,3593303
Static Size,DimReduction,,,,36866803.0,ns,3709216
Static Size,DimReduction,,,,38062802.0,ns,3825129
Static Size,DimReduction,,,,39184813.0,ns,3941042
Static Size,DimReduction,,,,40239866.0,ns,4056955
Static Size,DimReduction,,,,41524846.0,ns,4172868
Static Size,DimReduction,,,,42864447.0,ns,4288781
Static Size,DimReduction,,,,43827013.0,ns,4404694
Static Size,DimReduction,,,,44942984.0,ns,4520607
Static Size,DimReduction,,,,46067013.0,ns,4636520
Static Size,DimReduction,,,,47221042.0,ns,4752433
Static Size,DimReduction,,,,48400453.0,ns,4868346
Static Size,DimReduction,,,,49565066.0,ns,4984259
Static Size,DimReduction,,,,50717965.0,ns,5100172
Static Size,DimReduction,,,,51948094.0,ns,5216085
Static Size,DimReduction,,,,54303195.0,ns,5331998
Static Size,DimReduction,,,,54133695.0,ns,5447911
Static Size,DimReduction,,,,55341840.0,ns,5563824
Static Size,DimReduction,,,,56467977.0,ns,5679737
Static Size,DimReduction,,,,57938371.0,ns,5795650
Static Size,DimReduction,,,,58759283.0,ns,5911563
Static Size,DimReduction,,,,59883343.0,ns,6027476
Static Size,DimReduction,,,,61015580.0,ns,6143389
Static Size,DimReduction,,,,62205326.0,ns,6259302
Static Size,DimReduction,,,,63394036.0,ns,6375215
Static Size,DimReduction,,,,64568678.0,ns,6491128
Static Size,DimReduction,,,,65694499.0,ns,6607041
Static Size,DimReduction,,,,66826258.0,ns,6722954
Static Size,DimReduction,,,,67997042.0,ns,6838867
Static Size,DimReduction,,,,69138785.0,ns,6954780
Static Size,DimReduction,,,,70395237.0,ns,7070693
Static Size,DimReduction,,,,76881546.0,ns,7186606
Static Size,DimReduction,,,,72831774.0,ns,7302519
Static Size,DimReduction,,,,73738349.0,ns,7418432
Static Size,DimReduction,,,,74933716.0,ns,7534345
Static Size,DimReduction,,,,75998352.0,ns,7650258
Static Size,DimReduction,,,,77123357.0,ns,7766171
Static Size,DimReduction,,,,78329545.0,ns,7882084
Static Size,DimReduction,,,,79527374.0,ns,7997997
Static Size,DimReduction,,,,80692939.0,ns,8113910
Static Size,DimReduction,,,,81765319.0,ns,8229823
Static Size,DimReduction,,,,82953474.0,ns,8345736
Static Size,DimReduction,,,,84152594.0,ns,8461649
Static Size,DimReduction,,,,86210288.0,ns,8577562
Static Size,DimReduction,,,,87282293.0,ns,8693475
Static Size,DimReduction,,,,87544325.0,ns,8809388
Static Size,DimReduction,,,,88699042.0,ns,8925301
Static Size,DimReduction,,,,89929889.0,ns,9041214
Static Size,DimReduction,,,,90999449.0,ns,9157127
Static Size,DimReduction,,,,92083860.0,ns,9273040
Static Size,DimReduction,,,,93552698.0,ns,9388953
Static Size,DimReduction,,,,94650440.0,ns,9504866
Static Size,DimReduction,,,,95660701.0,ns,9620779
Static Size,DimReduction,,,,96812206.0,ns,9736692
Static Size,DimReduction,,,,100202021.0,ns,9852605
Static Size,DimReduction,,,,99914943.0,ns,9968518
Static Size,DimReduction,,,,100543047.0,ns,10084431
Static Size,DimReduction,,,,101482961.0,ns,10200344
Static Size,DimReduction,,,,102597701.0,ns,10316257
Static Size,DimReduction,,,,103715092.0,ns,10432170
Static Size,DimReduction,,,,104878942.0,ns,10548083
Static Size,DimReduction,,,,106161815.0,ns,10663996
Static Size,DimReduction,,,,107128041.0,ns,10779909
Static Size,DimReduction,,,,108356588.0,ns,10895822
Static Size,DimReduction,,,,110927943.0,ns,11011735
Static Size,DimReduction,,,,110906790.0,ns,11127648
Static Size,DimReduction,,,,111893744.0,ns,11243561
Static Size,DimReduction,,,,112845224.0,ns,11359474
Static Size,DimReduction,,,,113920198.0,ns,11475387
Static Size,DimReduction,,,,115415941.0,ns,11591300
