group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Dynamic Size,Optimized + Transposed,,,,2172277976.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171635532.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170441719.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171987252.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170986897.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171077970.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170915398.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171371514.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170967578.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2173378624.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170090217.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171875377.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171218942.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171262084.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170585985.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2174573613.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171451275.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170311004.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170288258.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170306123.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171011563.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172775240.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170559149.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170159087.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170237423.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170211649.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2169908076.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170197966.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171518323.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170767715.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170729441.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170534209.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172296510.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172989127.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171979399.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170853301.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2169648306.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171190210.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170515546.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170335047.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171905938.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170855661.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2169704646.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2169682481.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170695481.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170030497.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172045310.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170150825.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172683425.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171736161.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171325448.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2169992030.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172088045.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171675642.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2169423785.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170165576.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2169637303.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2169381122.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172888551.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171539508.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170110077.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2169530279.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2169700304.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170309364.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171782671.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170502315.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2169868319.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2169338727.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171355031.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171726839.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171491890.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172639548.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172579916.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171879383.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172414793.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171496174.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2173308227.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2175165109.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171656254.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172545495.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172816642.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172732411.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172554858.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2176395729.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172595496.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172471988.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172833318.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171827257.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172674590.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2174838303.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2173233324.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171905148.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172301666.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2172011616.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2169873500.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2171723099.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170250641.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170823360.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170914612.0,ns,1
Dynamic Size,Optimized + Transposed,,,,2170388508.0,ns,1
