group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Dynamic Size,Optimized,,,,3078245181.0,ns,1
Dynamic Size,Optimized,,,,3069897105.0,ns,1
Dynamic Size,Optimized,,,,3069667886.0,ns,1
Dynamic Size,Optimized,,,,3067083964.0,ns,1
Dynamic Size,Optimized,,,,3071191644.0,ns,1
Dynamic Size,Optimized,,,,3072447622.0,ns,1
Dynamic Size,Optimized,,,,3064249499.0,ns,1
Dynamic Size,Optimized,,,,3069433385.0,ns,1
Dynamic Size,Optimized,,,,3071828269.0,ns,1
Dynamic Size,Optimized,,,,3070564617.0,ns,1
Dynamic Size,Optimized,,,,3063802078.0,ns,1
Dynamic Size,Optimized,,,,3068391585.0,ns,1
Dynamic Size,Optimized,,,,3064535646.0,ns,1
Dynamic Size,Optimized,,,,3070591268.0,ns,1
Dynamic Size,Optimized,,,,3069562226.0,ns,1
Dynamic Size,Optimized,,,,3067445945.0,ns,1
Dynamic Size,Optimized,,,,3070780537.0,ns,1
Dynamic Size,Optimized,,,,3067140329.0,ns,1
Dynamic Size,Optimized,,,,3067491368.0,ns,1
Dynamic Size,Optimized,,,,3063252118.0,ns,1
Dynamic Size,Optimized,,,,3068393420.0,ns,1
Dynamic Size,Optimized,,,,3065591678.0,ns,1
Dynamic Size,Optimized,,,,3068463294.0,ns,1
Dynamic Size,Optimized,,,,3066669067.0,ns,1
Dynamic Size,Optimized,,,,3065844740.0,ns,1
Dynamic Size,Optimized,,,,3062319879.0,ns,1
Dynamic Size,Optimized,,,,3064217663.0,ns,1
Dynamic Size,Optimized,,,,3064208701.0,ns,1
Dynamic Size,Optimized,,,,3064729789.0,ns,1
Dynamic Size,Optimized,,,,3068735922.0,ns,1
Dynamic Size,Optimized,,,,3066603459.0,ns,1
Dynamic Size,Optimized,,,,3064333356.0,ns,1
Dynamic Size,Optimized,,,,3069689893.0,ns,1
Dynamic Size,Optimized,,,,3071740809.0,ns,1
Dynamic Size,Optimized,,,,3077061827.0,ns,1
Dynamic Size,Optimized,,,,3063766194.0,ns,1
Dynamic Size,Optimized,,,,3070649722.0,ns,1
Dynamic Size,Optimized,,,,3070139376.0,ns,1
Dynamic Size,Optimized,,,,3075062658.0,ns,1
Dynamic Size,Optimized,,,,3074858705.0,ns,1
Dynamic Size,Optimized,,,,3073886440.0,ns,1
Dynamic Size,Optimized,,,,3074960794.0,ns,1
Dynamic Size,Optimized,,,,3069985751.0,ns,1
Dynamic Size,Optimized,,,,3074005903.0,ns,1
Dynamic Size,Optimized,,,,3073733946.0,ns,1
Dynamic Size,Optimized,,,,3073526557.0,ns,1
Dynamic Size,Optimized,,,,3076439369.0,ns,1
Dynamic Size,Optimized,,,,3081552696.0,ns,1
Dynamic Size,Optimized,,,,3072991888.0,ns,1
Dynamic Size,Optimized,,,,3079073607.0,ns,1
Dynamic Size,Optimized,,,,3077335402.0,ns,1
Dynamic Size,Optimized,,,,3072871223.0,ns,1
Dynamic Size,Optimized,,,,3073302712.0,ns,1
Dynamic Size,Optimized,,,,3071969256.0,ns,1
Dynamic Size,Optimized,,,,3070730021.0,ns,1
Dynamic Size,Optimized,,,,3075385078.0,ns,1
Dynamic Size,Optimized,,,,3073294841.0,ns,1
Dynamic Size,Optimized,,,,3067105048.0,ns,1
Dynamic Size,Optimized,,,,3071387318.0,ns,1
Dynamic Size,Optimized,,,,3067314257.0,ns,1
Dynamic Size,Optimized,,,,3068495104.0,ns,1
Dynamic Size,Optimized,,,,3068730368.0,ns,1
Dynamic Size,Optimized,,,,3072111847.0,ns,1
Dynamic Size,Optimized,,,,3072717481.0,ns,1
