group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Dynamic Size,Optimized,,,,8745312612.0,ns,1
Dynamic Size,Optimized,,,,8739106961.0,ns,1
Dynamic Size,Optimized,,,,8713150727.0,ns,1
Dynamic Size,Optimized,,,,8742307487.0,ns,1
Dynamic Size,Optimized,,,,8855804878.0,ns,1
Dynamic Size,Optimized,,,,8807793688.0,ns,1
Dynamic Size,Optimized,,,,8735609748.0,ns,1
Dynamic Size,Optimized,,,,8763133622.0,ns,1
Dynamic Size,Optimized,,,,8834602643.0,ns,1
Dynamic Size,Optimized,,,,8776869948.0,ns,1
Dynamic Size,Optimized,,,,8751566409.0,ns,1
Dynamic Size,Optimized,,,,8793270448.0,ns,1
Dynamic Size,Optimized,,,,8781618073.0,ns,1
Dynamic Size,Optimized,,,,8770020409.0,ns,1
Dynamic Size,Optimized,,,,8736469087.0,ns,1
Dynamic Size,Optimized,,,,8733531625.0,ns,1
Dynamic Size,Optimized,,,,8757427827.0,ns,1
Dynamic Size,Optimized,,,,8764603050.0,ns,1
Dynamic Size,Optimized,,,,8813333280.0,ns,1
Dynamic Size,Optimized,,,,8733372381.0,ns,1
Dynamic Size,Optimized,,,,8750758195.0,ns,1
Dynamic Size,Optimized,,,,8728138008.0,ns,1
Dynamic Size,Optimized,,,,8768522022.0,ns,1
Dynamic Size,Optimized,,,,8750808307.0,ns,1
Dynamic Size,Optimized,,,,8785736203.0,ns,1
Dynamic Size,Optimized,,,,8770118606.0,ns,1
Dynamic Size,Optimized,,,,8745631486.0,ns,1
Dynamic Size,Optimized,,,,8770627831.0,ns,1
Dynamic Size,Optimized,,,,8734308221.0,ns,1
Dynamic Size,Optimized,,,,8739363206.0,ns,1
Dynamic Size,Optimized,,,,8781644241.0,ns,1
Dynamic Size,Optimized,,,,8794816678.0,ns,1
Dynamic Size,Optimized,,,,8801002416.0,ns,1
Dynamic Size,Optimized,,,,8783855019.0,ns,1
Dynamic Size,Optimized,,,,8706147037.0,ns,1
Dynamic Size,Optimized,,,,8754359317.0,ns,1
Dynamic Size,Optimized,,,,8785032644.0,ns,1
Dynamic Size,Optimized,,,,8774254238.0,ns,1
Dynamic Size,Optimized,,,,8882712481.0,ns,1
Dynamic Size,Optimized,,,,8833059378.0,ns,1
Dynamic Size,Optimized,,,,8779402744.0,ns,1
Dynamic Size,Optimized,,,,8773526135.0,ns,1
Dynamic Size,Optimized,,,,8737633698.0,ns,1
Dynamic Size,Optimized,,,,8703220293.0,ns,1
Dynamic Size,Optimized,,,,8771815364.0,ns,1
Dynamic Size,Optimized,,,,8766858209.0,ns,1
Dynamic Size,Optimized,,,,8757693355.0,ns,1
Dynamic Size,Optimized,,,,8737750769.0,ns,1
Dynamic Size,Optimized,,,,8820036545.0,ns,1
Dynamic Size,Optimized,,,,8745137265.0,ns,1
Dynamic Size,Optimized,,,,8776781322.0,ns,1
Dynamic Size,Optimized,,,,8751188575.0,ns,1
Dynamic Size,Optimized,,,,8819283433.0,ns,1
Dynamic Size,Optimized,,,,8791503634.0,ns,1
Dynamic Size,Optimized,,,,8821271094.0,ns,1
Dynamic Size,Optimized,,,,8810004941.0,ns,1
Dynamic Size,Optimized,,,,8777349619.0,ns,1
Dynamic Size,Optimized,,,,8847723326.0,ns,1
Dynamic Size,Optimized,,,,8767442871.0,ns,1
Dynamic Size,Optimized,,,,8743448545.0,ns,1
Dynamic Size,Optimized,,,,8729324341.0,ns,1
Dynamic Size,Optimized,,,,8764759308.0,ns,1
Dynamic Size,Optimized,,,,8780300636.0,ns,1
Dynamic Size,Optimized,,,,8752348980.0,ns,1
Dynamic Size,Optimized,,,,8772249506.0,ns,1
Dynamic Size,Optimized,,,,8783305435.0,ns,1
Dynamic Size,Optimized,,,,8695379420.0,ns,1
Dynamic Size,Optimized,,,,8814087263.0,ns,1
Dynamic Size,Optimized,,,,8729580557.0,ns,1
Dynamic Size,Optimized,,,,8746919377.0,ns,1
Dynamic Size,Optimized,,,,8730265605.0,ns,1
Dynamic Size,Optimized,,,,8785341648.0,ns,1
Dynamic Size,Optimized,,,,8789267671.0,ns,1
Dynamic Size,Optimized,,,,8777943853.0,ns,1
Dynamic Size,Optimized,,,,8730617723.0,ns,1
Dynamic Size,Optimized,,,,8749104857.0,ns,1
Dynamic Size,Optimized,,,,8857825722.0,ns,1
Dynamic Size,Optimized,,,,8714913500.0,ns,1
Dynamic Size,Optimized,,,,8753967188.0,ns,1
Dynamic Size,Optimized,,,,8807451736.0,ns,1
Dynamic Size,Optimized,,,,8764698884.0,ns,1
Dynamic Size,Optimized,,,,8757262243.0,ns,1
Dynamic Size,Optimized,,,,8816728458.0,ns,1
Dynamic Size,Optimized,,,,8761312579.0,ns,1
Dynamic Size,Optimized,,,,8748272912.0,ns,1
Dynamic Size,Optimized,,,,8749004807.0,ns,1
Dynamic Size,Optimized,,,,8824219358.0,ns,1
Dynamic Size,Optimized,,,,8780426391.0,ns,1
Dynamic Size,Optimized,,,,8759716468.0,ns,1
Dynamic Size,Optimized,,,,8756660130.0,ns,1
Dynamic Size,Optimized,,,,8778953276.0,ns,1
Dynamic Size,Optimized,,,,8786492464.0,ns,1
Dynamic Size,Optimized,,,,8700016162.0,ns,1
Dynamic Size,Optimized,,,,8722549704.0,ns,1
Dynamic Size,Optimized,,,,8777244509.0,ns,1
Dynamic Size,Optimized,,,,8749129460.0,ns,1
Dynamic Size,Optimized,,,,8767843662.0,ns,1
Dynamic Size,Optimized,,,,8744786019.0,ns,1
Dynamic Size,Optimized,,,,8734399118.0,ns,1
Dynamic Size,Optimized,,,,8810266459.0,ns,1
