group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Dynamic Size,Unoptimized,,,,23143177810.0,ns,1
Dynamic Size,Unoptimized,,,,23880944959.0,ns,1
Dynamic Size,Unoptimized,,,,23746481500.0,ns,1
Dynamic Size,Unoptimized,,,,23748151772.0,ns,1
Dynamic Size,Unoptimized,,,,23719199960.0,ns,1
Dynamic Size,Unoptimized,,,,23732463935.0,ns,1
Dynamic Size,Unoptimized,,,,23663952401.0,ns,1
Dynamic Size,Unoptimized,,,,23716781434.0,ns,1
Dynamic Size,Unoptimized,,,,23670878235.0,ns,1
Dynamic Size,Unoptimized,,,,23698925672.0,ns,1
Dynamic Size,Unoptimized,,,,23648006237.0,ns,1
Dynamic Size,Unoptimized,,,,23744268095.0,ns,1
Dynamic Size,Unoptimized,,,,23691117335.0,ns,1
Dynamic Size,Unoptimized,,,,23764986642.0,ns,1
Dynamic Size,Unoptimized,,,,23645689586.0,ns,1
Dynamic Size,Unoptimized,,,,23745409166.0,ns,1
Dynamic Size,Unoptimized,,,,23619156644.0,ns,1
Dynamic Size,Unoptimized,,,,23719630467.0,ns,1
Dynamic Size,Unoptimized,,,,23632635818.0,ns,1
Dynamic Size,Unoptimized,,,,23720826077.0,ns,1
Dynamic Size,Unoptimized,,,,23669012334.0,ns,1
Dynamic Size,Unoptimized,,,,23690095233.0,ns,1
Dynamic Size,Unoptimized,,,,23627958433.0,ns,1
Dynamic Size,Unoptimized,,,,23689342290.0,ns,1
Dynamic Size,Unoptimized,,,,23609085054.0,ns,1
Dynamic Size,Unoptimized,,,,23800043993.0,ns,1
Dynamic Size,Unoptimized,,,,23628730118.0,ns,1
Dynamic Size,Unoptimized,,,,23745780247.0,ns,1
Dynamic Size,Unoptimized,,,,23629188383.0,ns,1
Dynamic Size,Unoptimized,,,,23677832562.0,ns,1
Dynamic Size,Unoptimized,,,,23681866545.0,ns,1
Dynamic Size,Unoptimized,,,,23709842747.0,ns,1
Dynamic Size,Unoptimized,,,,23673218680.0,ns,1
Dynamic Size,Unoptimized,,,,23677715401.0,ns,1
Dynamic Size,Unoptimized,,,,23699585108.0,ns,1
Dynamic Size,Unoptimized,,,,23694652815.0,ns,1
Dynamic Size,Unoptimized,,,,23661573109.0,ns,1
Dynamic Size,Unoptimized,,,,23672443321.0,ns,1
Dynamic Size,Unoptimized,,,,23851794814.0,ns,1
Dynamic Size,Unoptimized,,,,23677537212.0,ns,1
Dynamic Size,Unoptimized,,,,23677246100.0,ns,1
Dynamic Size,Unoptimized,,,,23640170783.0,ns,1
Dynamic Size,Unoptimized,,,,23609848113.0,ns,1
Dynamic Size,Unoptimized,,,,23673990091.0,ns,1
Dynamic Size,Unoptimized,,,,23679699209.0,ns,1
Dynamic Size,Unoptimized,,,,23733880474.0,ns,1
Dynamic Size,Unoptimized,,,,23636410118.0,ns,1
Dynamic Size,Unoptimized,,,,23657843066.0,ns,1
Dynamic Size,Unoptimized,,,,23681847077.0,ns,1
Dynamic Size,Unoptimized,,,,23503378353.0,ns,1
Dynamic Size,Unoptimized,,,,23482505507.0,ns,1
Dynamic Size,Unoptimized,,,,23497526442.0,ns,1
Dynamic Size,Unoptimized,,,,23482169560.0,ns,1
Dynamic Size,Unoptimized,,,,23498336950.0,ns,1
Dynamic Size,Unoptimized,,,,23418274680.0,ns,1
Dynamic Size,Unoptimized,,,,23448756069.0,ns,1
Dynamic Size,Unoptimized,,,,23447600749.0,ns,1
Dynamic Size,Unoptimized,,,,23505552341.0,ns,1
Dynamic Size,Unoptimized,,,,23384781238.0,ns,1
Dynamic Size,Unoptimized,,,,23468957738.0,ns,1
Dynamic Size,Unoptimized,,,,23433931737.0,ns,1
Dynamic Size,Unoptimized,,,,23452841490.0,ns,1
Dynamic Size,Unoptimized,,,,23478432877.0,ns,1
Dynamic Size,Unoptimized,,,,23477807363.0,ns,1
Dynamic Size,Unoptimized,,,,23473877524.0,ns,1
Dynamic Size,Unoptimized,,,,23493857134.0,ns,1
Dynamic Size,Unoptimized,,,,23447039415.0,ns,1
Dynamic Size,Unoptimized,,,,23491489507.0,ns,1
Dynamic Size,Unoptimized,,,,23388483102.0,ns,1
Dynamic Size,Unoptimized,,,,23528799695.0,ns,1
Dynamic Size,Unoptimized,,,,23455861231.0,ns,1
Dynamic Size,Unoptimized,,,,23468845353.0,ns,1
Dynamic Size,Unoptimized,,,,23423047963.0,ns,1
Dynamic Size,Unoptimized,,,,23489051372.0,ns,1
Dynamic Size,Unoptimized,,,,23473281041.0,ns,1
Dynamic Size,Unoptimized,,,,23482434357.0,ns,1
Dynamic Size,Unoptimized,,,,23471588651.0,ns,1
Dynamic Size,Unoptimized,,,,23464299100.0,ns,1
Dynamic Size,Unoptimized,,,,23476363128.0,ns,1
Dynamic Size,Unoptimized,,,,23492112514.0,ns,1
Dynamic Size,Unoptimized,,,,23517821933.0,ns,1
Dynamic Size,Unoptimized,,,,23464910783.0,ns,1
Dynamic Size,Unoptimized,,,,23491401342.0,ns,1
Dynamic Size,Unoptimized,,,,23474106116.0,ns,1
Dynamic Size,Unoptimized,,,,23462810724.0,ns,1
Dynamic Size,Unoptimized,,,,23436913930.0,ns,1
Dynamic Size,Unoptimized,,,,23489251330.0,ns,1
Dynamic Size,Unoptimized,,,,23543442529.0,ns,1
Dynamic Size,Unoptimized,,,,23549076611.0,ns,1
Dynamic Size,Unoptimized,,,,23551060930.0,ns,1
Dynamic Size,Unoptimized,,,,23474351824.0,ns,1
Dynamic Size,Unoptimized,,,,23545745344.0,ns,1
Dynamic Size,Unoptimized,,,,23434889164.0,ns,1
Dynamic Size,Unoptimized,,,,23491703701.0,ns,1
Dynamic Size,Unoptimized,,,,23433100705.0,ns,1
Dynamic Size,Unoptimized,,,,23517409182.0,ns,1
Dynamic Size,Unoptimized,,,,23420084977.0,ns,1
Dynamic Size,Unoptimized,,,,23467924308.0,ns,1
Dynamic Size,Unoptimized,,,,23398592811.0,ns,1
Dynamic Size,Unoptimized,,,,23426696585.0,ns,1
